,,,barcelona-1992,,,atlanta-1996,,,sydney-2000,,,athens-2004,,,beijing-2008,,,london-2012,,,rio-2016,,,tokyo-2020,,Grand Total,
,,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Top 15 finishes,Percentage of Top 15 finishes
Cambodia,KHM,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,4,1,25.00%,6,1,16.70%,,0,--,2,9.10%
Cameroon,CMR,,0,0.00%,7,3,42.90%,6,3,50.00%,8,5,62.50%,13,4,30.80%,15,5,33.30%,12,5,41.70%,9,5,55.60%,30,41.10%
Canada,CAN,225,122,54.20%,211,109,51.70%,204,117,57.40%,176,99,56.30%,203,115,56.70%,202,116,57.40%,201,124,61.70%,205,133,64.90%,935,57.50%
Cape Verde,CPV,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,1,1,100.00%,3,2,66.70%,2,2,100.00%,5,41.70%
Cayman Islands,CYM,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,5,1,20.00%,6,2,33.30%,,0,0.00%,,0,--,3,9.10%
Central African Republic,CAF,,0,0.00%,,0,0.00%,,0,0.00%,2,1,50.00%,,0,0.00%,4,2,50.00%,4,2,50.00%,,0,--,5,22.70%
Chad,TCD,2,1,50.00%,,0,--,,0,--,,0,0.00%,,0,--,,0,0.00%,,0,--,,0,0.00%,1,16.70%
Chile,CHI,11,1,9.10%,,0,0.00%,27,4,14.80%,22,6,27.30%,23,2,8.70%,35,10,28.60%,32,8,25.00%,24,10,41.70%,41,21.60%
Chinese Taipei,TPE,13,6,46.20%,68,23,33.80%,53,20,37.70%,57,23,40.40%,46,20,43.50%,45,20,44.40%,54,21,38.90%,61,43,70.50%,176,44.30%
Colombia,COL,33,6,18.20%,46,8,17.40%,43,15,34.90%,51,24,47.10%,62,28,45.20%,73,25,34.20%,86,41,47.70%,57,30,52.60%,177,39.20%
Comoros,COM,,0,--,,0,--,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,0,0.00%
Congo,COG,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,9,1,11.10%,,0,--,1,3.80%
Cook Islands,COK,,0,0.00%,,0,0.00%,,0,0.00%,1,1,100.00%,2,1,50.00%,7,1,14.30%,7,1,14.30%,,0,0.00%,4,15.40%
