,,,barcelona-1992,,,atlanta-1996,,,sydney-2000,,,athens-2004,,,beijing-2008,,,london-2012,,,rio-2016,,,tokyo-2020,,Grand Total,
,,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Total Events participated,Top 15 finishes,Percentage of Top 15 finishes,Top 15 finishes,Percentage of Top 15 finishes
Panama,PAN,,0,0.00%,,0,0.00%,,0,0.00%,4,2,50.00%,4,1,25.00%,7,1,14.30%,9,3,33.30%,6,2,33.30%,9,18.00%
Papua New Guinea,PNG,8,2,25.00%,,0,0.00%,3,1,33.30%,4,1,25.00%,7,3,42.90%,6,3,50.00%,6,3,50.00%,5,2,40.00%,15,34.10%
Paraguay,PRY,11,1,9.10%,,0,0.00%,3,1,33.30%,4,1,25.00%,,0,0.00%,,0,0.00%,11,1,9.10%,,0,0.00%,4,7.50%
People's Republic of China,CHN,203,148,72.90%,216,153,70.80%,215,148,68.80%,256,185,72.30%,332,232,69.90%,274,203,74.10%,282,200,70.90%,272,207,76.10%,1476,72.00%
Peru,PER,17,1,5.90%,20,3,15.00%,11,2,18.20%,12,3,25.00%,12,4,33.30%,15,2,13.30%,29,6,20.70%,30,9,30.00%,30,20.50%
Philippines,PHL,31,5,16.10%,17,2,11.80%,20,6,30.00%,20,5,25.00%,15,3,20.00%,9,2,22.20%,11,3,27.30%,16,11,68.80%,37,26.60%
Poland,POL,178,104,58.40%,148,91,61.50%,129,89,69.00%,130,81,62.30%,172,97,56.40%,152,77,50.70%,162,82,50.60%,142,80,56.30%,701,57.80%
Portugal,PRT,67,12,17.90%,65,17,26.20%,48,19,39.60%,49,19,38.80%,62,17,27.40%,67,27,40.30%,68,30,44.10%,59,30,50.80%,171,35.30%
Puerto Rico,PRI,47,14,29.80%,43,10,23.30%,21,8,38.10%,27,7,25.90%,19,7,36.80%,16,9,56.30%,22,10,45.50%,20,5,25.00%,70,32.60%
Qatar,QAT,3,3,100.00%,6,3,50.00%,8,5,62.50%,9,5,55.60%,17,7,41.20%,11,4,36.40%,19,7,36.80%,7,5,71.40%,39,48.80%
Refugee Olympic Athletes,XXB,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,7,1,14.30%,,0,--,1,14.30%
Refugee Olympic Team,EOR,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,22,10,45.50%,10,45.50%
Republic of Korea,KOR,147,83,56.50%,181,96,53.00%,151,84,55.60%,168,99,58.90%,160,88,55.00%,164,99,60.40%,147,89,60.50%,142,100,70.40%,738,58.60%
Republic of Moldova,MDA,,0,--,44,18,40.90%,26,10,38.50%,25,5,20.00%,21,9,42.90%,17,6,35.30%,19,10,52.60%,17,10,58.80%,68,40.20%
ROC,ROC,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,273,199,72.90%,199,72.90%
Romania,ROM,135,99,73.30%,128,74,57.80%,113,85,75.20%,97,67,69.10%,78,50,64.10%,70,38,54.30%,59,29,49.20%,44,31,70.50%,473,65.30%
Russian Federation,RUS,,0,--,288,204,70.80%,307,238,77.50%,316,233,73.70%,336,210,62.50%,328,203,61.90%,244,175,71.70%,,0,--,1263,69.40%
Rwanda,RWA,,0,0.00%,2,1,50.00%,3,1,33.30%,,0,0.00%,,0,0.00%,7,1,14.30%,,0,0.00%,,0,0.00%,3,8.80%
Saint Kitts and Nevis,KNA,,0,--,,0,--,1,1,100.00%,1,1,100.00%,1,1,100.00%,,0,0.00%,,0,--,,0,--,3,75.00%
Saint Lucia,LCA,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,3,1,33.30%,,0,0.00%,1,6.70%
Saint Vincent and the Grenadines,VCT,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,--,,0,0.00%,,0,0.00%,,0,--,0,0.00%
Samoa,WSM,5,2,40.00%,,0,0.00%,5,2,40.00%,,0,0.00%,3,1,33.30%,8,4,50.00%,7,2,28.60%,11,1,9.10%,12,27.90%
San Marino,SMR,,0,0.00%,,0,0.00%,4,1,25.00%,4,2,50.00%,3,1,33.30%,3,1,33.30%,3,1,33.30%,5,3,60.00%,9,22.00%
Sao Tome and Principe,STP,,0,--,,0,--,,0,--,,0,0.00%,,0,--,,0,--,,0,0.00%,3,1,33.30%,1,20.00%
Saudi Arabia,SAU,,0,0.00%,8,2,25.00%,8,3,37.50%,10,2,20.00%,7,1,14.30%,12,4,33.30%,,0,0.00%,9,4,44.40%,16,21.30%
Senegal,SEN,19,2,10.50%,5,1,20.00%,5,2,40.00%,10,1,10.00%,12,5,41.70%,12,7,58.30%,9,4,44.40%,6,1,16.70%,23,29.50%
Serbia,SER,,0,--,,0,--,,0,--,,0,--,42,18,42.90%,67,34,50.70%,63,30,47.60%,51,30,58.80%,112,50.20%
Serbia and Montenegro,YUG,,0,--,39,17,43.60%,39,14,35.90%,34,12,35.30%,,0,--,,0,--,,0,--,,0,--,43,38.40%
Seychelles,SYC,16,2,12.50%,7,2,28.60%,7,2,28.60%,5,1,20.00%,5,2,40.00%,,0,0.00%,8,1,12.50%,,0,0.00%,10,18.50%
Sierra Leone,SLE,,0,0.00%,3,2,66.70%,,0,0.00%,,0,--,,0,0.00%,,0,--,,0,0.00%,,0,0.00%,2,22.20%
Singapore,SGP,,0,0.00%,29,2,6.90%,21,3,14.30%,18,5,27.80%,26,8,30.80%,25,10,40.00%,26,9,34.60%,17,6,35.30%,43,21.70%
Slovakia,SVK,,0,--,69,26,37.70%,56,30,53.60%,52,26,50.00%,46,17,37.00%,48,19,39.60%,44,17,38.60%,33,21,63.60%,156,44.80%
Slovenia,SVN,32,15,46.90%,33,14,42.40%,42,13,31.00%,55,22,40.00%,50,18,36.00%,61,29,47.50%,43,19,44.20%,36,21,58.30%,151,42.90%
Solomon Islands,SLB,,0,0.00%,,0,0.00%,,0,--,,0,--,1,1,100.00%,2,2,100.00%,1,1,100.00%,2,1,50.00%,5,62.50%
Somalia,SOM,,0,--,2,1,50.00%,,0,--,,0,--,,0,--,,0,--,,0,--,1,1,100.00%,2,66.70%
South Africa,ZAF,91,13,14.30%,63,28,44.40%,78,47,60.30%,52,20,38.50%,88,41,46.60%,74,36,48.60%,71,35,49.30%,58,20,34.50%,240,41.70%
South Sudan,SSD,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,0.00%,,0,--,0,0.00%
Spain,ESP,226,114,50.40%,173,83,48.00%,174,102,58.60%,170,107,62.90%,167,94,56.30%,156,85,54.50%,166,90,54.20%,159,99,62.30%,774,55.60%
Sri Lanka,LKA,7,1,14.30%,,0,0.00%,9,1,11.10%,,0,0.00%,7,1,14.30%,7,1,14.30%,9,2,22.20%,4,1,25.00%,7,13.20%
Sudan,SDN,,0,0.00%,,0,0.00%,,0,0.00%,3,2,66.70%,2,1,50.00%,3,1,33.30%,,0,0.00%,,0,0.00%,4,20.00%
Suriname,SUR,6,1,16.70%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,4,1,25.00%,3,2,66.70%,4,12.50%
Swaziland,SWZ,,0,0.00%,,0,0.00%,5,2,40.00%,,0,0.00%,,0,0.00%,,0,0.00%,,0,--,,0,--,2,13.30%
Sweden,SWE,142,73,51.40%,129,65,50.40%,114,69,60.50%,93,46,49.50%,96,55,57.30%,92,58,63.00%,91,55,60.40%,75,52,69.30%,473,56.90%
Switzerland,CHE,90,32,35.60%,83,41,49.40%,93,49,52.70%,88,42,47.70%,78,35,44.90%,77,33,42.90%,83,48,57.80%,87,52,59.80%,332,48.90%
Syrian Arab Republic,SYR,,0,0.00%,8,4,50.00%,,0,0.00%,3,1,33.30%,6,1,16.70%,9,2,22.20%,6,2,33.30%,4,1,25.00%,11,21.60%
Tajikistan,TJK,,0,--,8,2,25.00%,,0,0.00%,8,5,62.50%,15,6,40.00%,15,9,60.00%,6,2,33.30%,7,4,57.10%,28,44.40%
Thailand,THA,35,12,34.30%,44,9,20.50%,50,15,30.00%,45,20,44.40%,42,21,50.00%,39,18,46.20%,54,27,50.00%,38,16,42.10%,138,39.80%
The Former Yugoslav Republic of Macedonia,MKD,,0,--,16,3,18.80%,13,2,15.40%,,0,0.00%,5,1,20.00%,,0,0.00%,,0,0.00%,,0,--,6,11.50%
Togo,TGO,,0,0.00%,,0,--,,0,--,,0,0.00%,3,2,66.70%,5,1,20.00%,,0,0.00%,,0,0.00%,3,18.80%
Tonga,TON,,0,0.00%,3,1,33.30%,1,1,100.00%,2,1,50.00%,1,1,100.00%,,0,0.00%,5,1,20.00%,3,3,100.00%,8,42.10%
Trinidad and Tobago,TTO,4,3,75.00%,11,3,27.30%,12,3,25.00%,13,7,53.80%,10,5,50.00%,22,12,54.50%,14,8,57.10%,13,6,46.20%,47,47.50%
Tunisia,TUN,14,2,14.30%,23,9,39.10%,20,8,40.00%,28,12,42.90%,30,11,36.70%,50,27,54.00%,46,16,34.80%,48,19,39.60%,104,40.20%
Turkey,TUR,49,21,42.90%,57,26,45.60%,58,28,48.30%,62,29,46.80%,61,19,31.10%,81,33,40.70%,77,35,45.50%,78,51,65.40%,242,46.30%
Turkmenistan,TKM,,0,--,6,4,66.70%,6,4,66.70%,7,3,42.90%,8,2,25.00%,8,2,25.00%,7,1,14.30%,5,4,80.00%,20,42.60%
Tuvalu,TUV,,0,--,,0,--,,0,--,,0,--,,0,0.00%,1,1,100.00%,,0,--,,0,--,1,50.00%
Uganda,UGA,,0,0.00%,8,2,25.00%,,0,0.00%,9,4,44.40%,8,3,37.50%,9,4,44.40%,14,5,35.70%,18,7,38.90%,25,31.30%
Ukraine,UKR,,0,--,164,103,62.80%,206,127,61.70%,190,112,58.90%,208,101,48.60%,200,93,46.50%,160,81,50.60%,126,74,58.70%,691,55.10%
Unified Team,EUN,335,260,77.60%,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,260,77.60%
United Arab Emirates,ARE,,0,0.00%,,0,0.00%,4,1,25.00%,4,2,50.00%,8,2,25.00%,7,4,57.10%,12,3,25.00%,,0,0.00%,12,19.00%
United Republic of Tanzania,TZA,9,5,55.60%,6,1,16.70%,,0,0.00%,7,1,14.30%,8,2,25.00%,,0,0.00%,7,1,14.30%,3,1,33.30%,11,22.40%
United States of America,USA,378,282,74.60%,387,292,75.50%,361,277,76.70%,359,269,74.90%,364,277,76.10%,389,293,75.30%,375,301,80.30%,409,328,80.20%,2319,76.70%
Uruguay,URY,14,1,7.10%,14,1,7.10%,13,2,15.40%,11,2,18.20%,9,1,11.10%,9,2,22.20%,14,2,14.30%,4,1,25.00%,12,13.60%
US Virgin Islands,VIR,22,4,18.20%,6,1,16.70%,,0,0.00%,,0,0.00%,5,1,20.00%,,0,0.00%,4,1,25.00%,,0,--,7,12.50%
Uzbekistan,UZB,,0,--,47,23,48.90%,47,24,51.10%,48,21,43.80%,50,24,48.00%,49,25,51.00%,57,36,63.20%,54,38,70.40%,191,54.30%
Vanuatu,VUT,,0,0.00%,,0,--,,0,0.00%,,0,--,,0,0.00%,,0,0.00%,,0,0.00%,,0,0.00%,0,0.00%
Venezuela,VEN,15,8,53.30%,41,12,29.30%,42,14,33.30%,41,17,41.50%,73,30,41.10%,68,24,35.30%,78,21,26.90%,27,13,48.10%,139,36.10%
Vietnam,VNM,,0,0.00%,4,1,25.00%,5,2,40.00%,7,3,42.90%,16,5,31.30%,17,8,47.10%,22,9,40.90%,12,6,50.00%,34,37.80%
"Virgin Islands, US",VIR,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,0.00%,0,0.00%
Yemen,YEM,,0,0.00%,,0,0.00%,,0,--,2,1,50.00%,,0,0.00%,2,1,50.00%,,0,0.00%,,0,0.00%,2,10.50%
Zambia,ZMB,5,3,60.00%,5,4,80.00%,4,1,25.00%,4,1,25.00%,,0,0.00%,,0,0.00%,5,1,20.00%,5,4,80.00%,14,36.80%
Zimbabwe,ZWE,15,2,13.30%,11,3,27.30%,14,3,21.40%,8,4,50.00%,13,7,53.80%,9,6,66.70%,13,4,30.80%,,0,0.00%,29,34.10%
(blank),#N/A,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,,0,--,0,--
Grand Total,,6878,3375,49.10%,7117,3695,51.90%,7091,3933,55.50%,6979,3876,55.50%,7360,3922,53.30%,7531,4080,54.20%,7672,4200,54.70%,6863,4313,62.80%,31394,54.60%
